Any,Ambit,Titularitat,Tipus,Edicio,Festa,DataInici,DataFi,Assistents,Espai,Organitzador,Nota
2023,"Festes i tradicions","Ajuntament de Barcelona",Festes,,"Cavalcada de Reis",5/1/2023,5/1/2023,750000,"Diversos espais de la ciutat","Institut de Cultura. Ajuntament de Barcelona",
2023,"Festes i tradicions","Ajuntament de Barcelona",Festes,15,"Festes de Santa Eulàlia",10/2/2023,12/2/2023,,"Diversos espais de la ciutat","Institut de Cultura. Ajuntament de Barcelona",
2023,"Festes i tradicions",Mixta,Festes,,Carnaval,16/2/2023,22/2/2023,,"Diversos espais de la ciutat",-1,
2023,"Festes i tradicions",Mixta,Festes,,"Sant Medir",3/3/2023,3/3/2023,,"Diversos espais de la ciutat",-1,
2023,"Festes i tradicions","Ajuntament de Barcelona",Festes,7,"Museu Endins",4/3/2023,4/3/2023,1687,"Diversos museus de la ciutat","Institut de Cultura. Ajuntament de Barcelona",
2023,"Festes i tradicions",Mixta,Festes,,"Diada de Sant Jordi",23/4/2023,23/4/2023,,"Diversos espais de la ciutat",-1,
2023,"Festes i tradicions","Ajuntament de Barcelona",Festes,15,"Nit dels Museus",13/5/2023,13/5/2023,93757,"Diversos museus de la ciutat","Institut de Cultura. Ajuntament de Barcelona",
2023,"Festes i tradicions",Mixta,Festes,,"L'ou com balla",1/6/2023,11/6/2023,,"Diversos espais de la ciutat",-1,
2023,Ciència,"Ajuntament de Barcelona",Festes,16,"Festa de la Ciència",10/6/2023,11/6/2023,16000,"Barri del Besòs i Maresme","Departament de Ciència i Universitats. Ajuntament de Barcelona",
2023,"Festes i tradicions",Mixta,Festes,,"Revetlla de Sant Joan",23/6/2023,23/6/2023,,"Diversos espais de la ciutat",-1,
2023,"Festes i tradicions",Mixta,Festes,,"Festa Major de Gràcia",15/8/2023,21/8/2023,,"Barri de Gràcia",-1,
2023,"Festes i tradicions",Mixta,Festes,,"Festa Major de Sants",19/8/2023,27/8/2023,,"Barri de Sants",-1,
2023,"Festes i tradicions",Mixta,Festes,,"Diada de l'Onze de Setembre",11/9/2023,11/9/2023,,"Diversos espais de la ciutat",-1,
2023,"Festes i tradicions","Ajuntament de Barcelona",Festes,,"La Mercè",22/9/2023,25/9/2023,1105719,"Diversos espais de la ciutat","Institut de Cultura. Ajuntament de Barcelona",
2023,"Festes i tradicions","Ajuntament de Barcelona",Festes,,"Espectacle Nit de Cap d'Any",31/12/2023,31/12/2023,120000,"Av. Maria Cristina","Institut de Cultura. Ajuntament de Barcelona",
